Name,Cuisine,Image,Reason
"Mr Wong’s Wok & Box ️","modern-european","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Elliot’s - South Hackney","modern-european","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Koya Japanese Restaurant Hackney","modern-european","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"The Pizza Room - Mile End","modern-european","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"The Orange Room Lebanese Restaurant Mile End","modern-european","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Mile End Pizza and Kebab","modern-european","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"FoodComa","modern-european","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"King’s Flavour Mile End","modern-european","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Eastway Brasserie","modern-european","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Yokoso Restaurant - Japanese & Italian Cuisine","modern-european","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Lala’s Grill & Restaurant","modern-european","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"MyShish","modern-european","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
